,Institution Names,City,State,Score,Rank
474,mohini murari shikshan sanstha mohini murari mayekar arts & commerce college at post malgund chafe tal & dist ratnagiri,,,,
475,sambhajirao kendre mahavidyalaya,,,,
476,a.n.s.college,,,,
477,sankaralingam bhuvaneswari college of pharmacy,,,,
478,saint florence college of nursing,,,,
479,ssg pareek pg college of education,,,,
480,vellanki college of education,,,,
481,v.e.t first grade college,,,,
482,kopal institute of science & technology,,,,
483,noble degree college,,,,
484,u.s.p.college of education,,,,
485,dashmesh institute of management and technology,,,,
486,sonekar b ed college koradi,,,,
487,dr. hima sekhar degree college,,,,
488,rajkiya p.g. college,,,,
489,aathwale social work,,,,
490,r.k.nagar college,,,,
491,jai shri ram education college,,,,
492,vaish institute of pharmaceutical education & research,,,,
493,amc medical education trust dental college,,,,
494,s.r.d college agra road,,,,
495,pannala ram reddy college of business managememt,,,,
496,miranda college,,,,
497,doon paramedical college,,,,
498,anand mahila shikshak prashikshan mahavi.,,,,
499,agricultural polytechnic,,,,
500,prasuna college of law,,,,
501,maharshi karve stree shikshan sanstha,,,,
502,m s j govt. college,,,,
503,seth anandaram jaipuria college,,,,
504,rameshwari teachers training,,,,
505,mat college of education satanbada,,,,
506,redix computer & media centre,,,,
507,shree karni college,,,,
508,shah satnam ji boys college,,,,
509,shri thakurji adarsh sanskrit mahavidyalaya,,,,
510,shri mukesh jani b.ed. college,,,,
511,keshav memorial degree & p.g. college,,,,
512,m.g. college of education and tech. astarang,,,,
513,millennium institute of management,,,,
514,sri venkateswara engineering college,,,,
515,k.g.s. mahavidyalaya,,,,
516,mayank shekhar mahavidyalaya,,,,
517,laxmi institute of technology,,,,
518,r.s.v.v.s.p.s. college,,,,
519,silicon institute of technology,,,,
520,vaishnavi college of architecture,,,,
521,sri jagadguru guru gurubasaveshwara samskrit college,,,,
522,jyoti institute of information technology,,,,
523,shri chhatrapati shivaji shikshan sansthas shri chhatrapati shivaji college of arts,,,,
524,som lalit college of education,,,,
525,j.b.m. college of education,,,,
526,rajiv gandhi institute of computer & information technology burhar,,,,
527,ct institute of management & technology,,,,
528,astha colege of edu.,,,,
529,dr.s.ramadoss arts & science college,,,,
530,darmdular singh smarak degree college,,,,
531,don bosco college,,,,
532,m.d.r.p.d.m. college,,,,
533,vivekananda govt. degree college,,,,
534,rangia t.t. college,,,,
535,gonna institute of technology and management,,,,
536,anjuman centary b.ed college,,,,
537,sri sarada college for women,,,,
538,darjeeling government college,,,,
539,institute of indian culture,,,,
